"URL d'accès au document";"Type de document";"Titre";"Auteurs";"Contributeur";"Éditeurs";"Date d'édition";"Description";"Nombre de Vues";"Provenance";"Droits";"Ark Catalogue"
"https://gallica.bnf.fr/ark:/12148/bpt6k49566238";"texte -- text -- publication en série imprimée -- printed serial";"Le Petit caporal : journal quotidien, politique, démocratique et patriotique / rédacteur en chef : F. Perron";"";"Perron, François (professeur de philosophie à la Faculté des lettres de Besançon). Directeur de publication";" (Paris)";"1914-07-25";"25 juillet 1914 -- 1914/07/25 (A39,N204). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, GR FOL-LC2-3860";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb328358889 -- https://gallica.bnf.fr/ark:/12148/cb328358889/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k49580247";"texte -- text -- publication en série imprimée -- printed serial";"Le Petit caporal : journal quotidien, politique, démocratique et patriotique / rédacteur en chef : F. Perron";"";"Perron, François (professeur de philosophie à la Faculté des lettres de Besançon). Directeur de publication";" (Paris)";"1913-10-16";"16 octobre 1913 -- 1913/10/16 (A38,N268). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, GR FOL-LC2-3860";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb328358889 -- https://gallica.bnf.fr/ark:/12148/cb328358889/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k49582401";"texte -- text -- publication en série imprimée -- printed serial";"Le Petit caporal : journal quotidien, politique, démocratique et patriotique / rédacteur en chef : F. Perron";"";"Perron, François (professeur de philosophie à la Faculté des lettres de Besançon). Directeur de publication";" (Paris)";"1914-07-19";"19 juillet 1914 -- 1914/07/19 (A39,N198). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, GR FOL-LC2-3860";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb328358889 -- https://gallica.bnf.fr/ark:/12148/cb328358889/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k17378560";"texte -- text -- publication en série imprimée -- printed serial";"La Démocratie : organe des Républicains démocrates dans la 4e circonscription de Sceaux / directeur Marc Sangnier";"Sangnier, Marc (1873-1950). Auteur du texte";"";" (Issy-les-Moulineaux) -- [s.n.] (Paris)";"1914-01-29";"29 janvier 1914 -- 1914/01/29 (A5,N1263). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, JO-15084";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32755401j -- https://gallica.bnf.fr/ark:/12148/cb32755401j/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k49564010";"texte -- text -- publication en série imprimée -- printed serial";"Le Petit caporal : journal quotidien, politique, démocratique et patriotique / rédacteur en chef : F. Perron";"";"Perron, François (professeur de philosophie à la Faculté des lettres de Besançon). Directeur de publication";" (Paris)";"1913-10-16";"16 octobre 1913 -- 1913/10/16 (A38,N268). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, GR FOL-LC2-3860";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb328358889 -- https://gallica.bnf.fr/ark:/12148/cb328358889/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k4958246h";"texte -- text -- publication en série imprimée -- printed serial";"Le Petit caporal : journal quotidien, politique, démocratique et patriotique / rédacteur en chef : F. Perron";"";"Perron, François (professeur de philosophie à la Faculté des lettres de Besançon). Directeur de publication";" (Paris)";"1914-07-25";"25 juillet 1914 -- 1914/07/25 (A39,N204). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, GR FOL-LC2-3860";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb328358889 -- https://gallica.bnf.fr/ark:/12148/cb328358889/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k1664696g";"texte -- text -- publication en série imprimée -- printed serial";"La Libre parole / dir. E. Drumont";"";"";" (Paris)";"1914-07-23";"23 juillet 1914 -- 1914/07/23 (A23,N8128). -- ";"";"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, GR FOL-LC2-4947";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb328070581 -- https://gallica.bnf.fr/ark:/12148/cb328070581/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k18473702";"texte -- text -- publication en série imprimée -- printed serial";"Journal de la ville de Saint-Quentin et de l'arrondissement, ou Feuille d'annonces judiciaires...";"";"";" (Saint-Quentin)";"1913-08-01";"01 août 1913 -- 1913/08/01 (A95,N179). -- ";"";"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LC11-923";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32798346s -- https://gallica.bnf.fr/ark:/12148/cb32798346s/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k17213015";"texte -- text -- publication en série imprimée -- printed serial";"Les Nouvelles";"";"";" (Paris)";"1914-07-22";"22 juillet 1914 -- 1914/07/22 (A7,N1875). -- ";"";"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, GR FOL-LC2-6365";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32826312q -- https://gallica.bnf.fr/ark:/12148/cb32826312q/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k1737486r";"texte -- text -- publication en série imprimée -- printed serial";"La Démocratie : organe des Républicains démocrates dans la 4e circonscription de Sceaux / directeur Marc Sangnier";"Sangnier, Marc (1873-1950). Auteur du texte";"";" (Issy-les-Moulineaux) -- [s.n.] (Paris)";"1913-01-27";"27 janvier 1913 -- 1913/01/27 (A4,N896). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, JO-15084";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32755401j -- https://gallica.bnf.fr/ark:/12148/cb32755401j/date"
